source,target,person_name,linkedin
2 Sigma,Cerby,Jon Joe,jon-joe
2 Sigma,Netbox Labs,Jon Joe,jon-joe
2 Sigma,Objective,Jon Joe,jon-joe
2 Sigma,RIVE,Jon Joe,jon-joe
2 Sigma,Isabl,Jon Joe,jon-joe
2 Sigma,3DR,Jon Joe,jon-joe
2 Sigma,Raincoat,Jon Joe,jon-joe
2 Sigma,Anomalo,Jon Joe,jon-joe
2 Sigma,Freeform,Jon Joe,jon-joe
2 Sigma,Enveda Biosciences,Jon Joe,jon-joe
2 Sigma,UMA,Jon Joe,jon-joe
2 Sigma,Ansel,Jon Joe,jon-joe
2 Sigma,Exai Bio,Jon Joe,jon-joe
2 Sigma,Tive,Jon Joe,jon-joe
2 Sigma,Recursion,Jon Joe,jon-joe
2 Sigma,MonetizeNow,Jon Joe,jon-joe
2 Sigma,Cajal Neuroscience,Jon Joe,jon-joe
2 Sigma,Hyper,Jon Joe,jon-joe
2 Sigma,Dorsal,Jon Joe,jon-joe
2 Sigma,RightRev,Jon Joe,jon-joe
2 Sigma,Verge Genomics,Jon Joe,jon-joe
2 Sigma,NewtonX,Jon Joe,jon-joe
2 Sigma,Timescale,Jon Joe,jon-joe
2 Sigma,Okteto,Jon Joe,jon-joe
2 Sigma,TextBlaze,Jon Joe,jon-joe
2 Sigma,Mio,Jon Joe,jon-joe
2 Sigma,Socure,Jon Joe,jon-joe
2 Sigma,Kallyope,Jon Joe,jon-joe
2 Sigma,Per Diem,Jon Joe,jon-joe
2 Sigma,Radar,Jon Joe,jon-joe
2 Sigma,Theorem,Jon Joe,jon-joe
2 Sigma,Wealthsimple,Jon Joe,jon-joe
2 Sigma,Nelo,Jon Joe,jon-joe
2 Sigma,Flatfile,Jon Joe,jon-joe
2 Sigma,Rapid SOS,Jon Joe,jon-joe
2 Sigma,Formlogic,Jon Joe,jon-joe
2 Sigma,Whoop,Jon Joe,jon-joe
2 Sigma,Comet,Jon Joe,jon-joe
2 Sigma,Compoundeye,Jon Joe,jon-joe
2 Sigma,Pyth,Jon Joe,jon-joe
2 Sigma,Cylera,Jon Joe,jon-joe
2 Sigma,Odeko,Jon Joe,jon-joe
2 Sigma,Candu,Jon Joe,jon-joe
2 Sigma,SecurityScorecard,Jon Joe,jon-joe
2 Sigma,Boundless,Jon Joe,jon-joe
2 Sigma,Carbon Health,Jon Joe,jon-joe
2 Sigma,Firedome,Jon Joe,jon-joe
2 Sigma,Castor,Jon Joe,jon-joe
2 Sigma,Bark,Jon Joe,jon-joe
2 Sigma,Enigma,Jon Joe,jon-joe
2 Sigma,Renthop,Jon Joe,jon-joe
2 Sigma,CapSen Robotics,Jon Joe,jon-joe
2 Sigma,Kasisto,Jon Joe,jon-joe
2 Sigma,Mirantis,Jon Joe,jon-joe
2 Sigma,Replicated,Jon Joe,jon-joe
2 Sigma,NS1,Jon Joe,jon-joe
2 Sigma,Switchboard,Jon Joe,jon-joe
2 Sigma,Lytics,Jon Joe,jon-joe
2 Sigma,TinyBop,Jon Joe,jon-joe
2 Sigma,RockPaperRobot,Jon Joe,jon-joe
2 Sigma,Rally Protocol,Jon Joe,jon-joe
2 Sigma,D2IQ,Jon Joe,jon-joe
2 Sigma,Zymergen,Jon Joe,jon-joe
2 Sigma,Appia Bio,Jon Joe,jon-joe
2 Sigma,Hexagon Bio,Jon Joe,jon-joe
2 Sigma,Insitro,Jon Joe,jon-joe
2 Sigma,Terray,Jon Joe,jon-joe
2 Sigma,Glide,Jon Joe,jon-joe
2 Sigma,Remote,Jon Joe,jon-joe
2 Sigma,Facet,Jon Joe,jon-joe
2 Sigma,Pryon,Jon Joe,jon-joe
2 Sigma,Omni,Jon Joe,jon-joe
2 Sigma,Osmo,Jon Joe,jon-joe
2 Sigma,Xilis,Jon Joe,jon-joe
8VC,Appia Bio,Jon Joe,jon-joe
8VC,Hexagon Bio,Jon Joe,jon-joe
8VC,TAP,Jon Joe,jon-joe
8VC,Dren Bio,Jon Joe,jon-joe
8VC,Loop,Jon Joe,jon-joe
8VC,Cellares,Jon Joe,jon-joe
8VC,Candid Health,Jon Joe,jon-joe
8VC,Harbor Health,Jon Joe,jon-joe
8VC,Cartography,Jon Joe,jon-joe
8VC,Ritten,Jon Joe,jon-joe
8VC,Keycare,Jon Joe,jon-joe
8VC,AgVend,Jon Joe,jon-joe
8VC,Oula,Jon Joe,jon-joe
8VC,hC Bioscience,Jon Joe,jon-joe
8VC,HDVI,Jon Joe,jon-joe
8VC,Opto,Jon Joe,jon-joe
8VC,BigHat Biosciences,Jon Joe,jon-joe
8VC,Cellino Bio,Jon Joe,jon-joe
8VC,Acryl Data,Jon Joe,jon-joe
8VC,Nile,Jon Joe,jon-joe
8VC,Hopscotch Health,Jon Joe,jon-joe
8VC,Coram.ai,Jon Joe,jon-joe
8VC,Subskribe,Jon Joe,jon-joe
8VC,Unlearn,Jon Joe,jon-joe
8VC,Rocketlane,Jon Joe,jon-joe
8VC,Platform Science,Jon Joe,jon-joe
8VC,Atomic AI,Jon Joe,jon-joe
8VC,Gatsby,Jon Joe,jon-joe
8VC,Hill House,Jon Joe,jon-joe
8VC,Photys,Jon Joe,jon-joe
8VC,Sirona,Jon Joe,jon-joe
8VC,Myeloid,Jon Joe,jon-joe
8VC,Honor,Jon Joe,jon-joe
8VC,Flywheel,Jon Joe,jon-joe
8VC,Mycoworks,Jon Joe,jon-joe
8VC,180 Seguros,Jon Joe,jon-joe
8VC,Anduin,Jon Joe,jon-joe
8VC,BlueVoyant,Jon Joe,jon-joe
8VC,Octant,Jon Joe,jon-joe
8VC,Ushur,Jon Joe,jon-joe
8VC,Socotra,Jon Joe,jon-joe
8VC,Mindbloom,Jon Joe,jon-joe
8VC,Addepar,Jon Joe,jon-joe
8VC,Synthex,Jon Joe,jon-joe
8VC,Alloy Therapeutics,Jon Joe,jon-joe
8VC,Cityblock,Jon Joe,jon-joe
8VC,Standard Metrics,Jon Joe,jon-joe
8VC,Galileo,Jon Joe,jon-joe
8VC,Epirus,Jon Joe,jon-joe
8VC,Fig.1,Jon Joe,jon-joe
8VC,Spartan Radar,Jon Joe,jon-joe
8VC,Luminary,Jon Joe,jon-joe
8VC,Cellanome,Jon Joe,jon-joe
8VC,Chaos,Jon Joe,jon-joe
8VC,Outrider,Jon Joe,jon-joe
8VC,Agentic,Jon Joe,jon-joe
8VC,Pango,Jon Joe,jon-joe
8VC,Cambium,Jon Joe,jon-joe
8VC,Raydiant,Jon Joe,jon-joe
8VC,Vector,Jon Joe,jon-joe
8VC,Very Great,Jon Joe,jon-joe
8VC,Fractal,Jon Joe,jon-joe
8VC,Blink Health,Jon Joe,jon-joe
8VC,Seaplane,Jon Joe,jon-joe
8VC,TradeWing,Jon Joe,jon-joe
8VC,Nuanced Health,Jon Joe,jon-joe
8VC,BuildZoom,Jon Joe,jon-joe
8VC,Synthego,Jon Joe,jon-joe
8VC,Beacon,Jon Joe,jon-joe
8VC,Opencare,Jon Joe,jon-joe
8VC,Paravel,Jon Joe,jon-joe
8VC,Motherly,Jon Joe,jon-joe
8VC,Project44,Jon Joe,jon-joe
8VC,Trackonomy,Jon Joe,jon-joe
8VC,Commure,Jon Joe,jon-joe
8VC,PathAI,Jon Joe,jon-joe
8VC,Ramp,Jon Joe,jon-joe
8VC,Kojo,Jon Joe,jon-joe
8VC,Fieldguide,Jon Joe,jon-joe
8VC,Sila Nanotechnologies,Jon Joe,jon-joe
8VC,Alloy,Jon Joe,jon-joe
8VC,Fieldguide,Jon Joe,jon-joe
8VC,Twingate,Jon Joe,jon-joe
8VC,The Boring Company,Jon Joe,jon-joe
8VC,Citizen,Jon Joe,jon-joe
8VC,Sonoma Biotherapeutics,Jon Joe,jon-joe
8VC,Vercel,Jon Joe,jon-joe
8VC,Resilience,Jon Joe,jon-joe
8VC,Flexport,Jon Joe,jon-joe
8VC,Tome,Jon Joe,jon-joe
8VC,Yugabyte,Jon Joe,jon-joe
8VC,Anduril,Jon Joe,jon-joe
8VC,Orca Bio,Jon Joe,jon-joe
8VC,Esper,Jon Joe,jon-joe
8VC,Polly,Jon Joe,jon-joe
8VC,Hearth,Jon Joe,jon-joe
8VC,Saronic,Jon Joe,jon-joe
Accel,Akto,Jon Joe,jon-joe
Accel,Axle Energy,Jon Joe,jon-joe
Accel,Flipturn,Jon Joe,jon-joe
Accel,Agave,Jon Joe,jon-joe
Accel,Napkin.AI,Jon Joe,jon-joe
Accel,Vorlon,Jon Joe,jon-joe
Accel,Gamma,Jon Joe,jon-joe
Accel,e6data,Jon Joe,jon-joe
Accel,Tenderly,Jon Joe,jon-joe
Accel,1Password,Jon Joe,jon-joe
Accel,Helsing,Jon Joe,jon-joe
Accel,Tailscale,Jon Joe,jon-joe
Accel,Knight Fintech,Jon Joe,jon-joe
Accel,Altinity,Jon Joe,jon-joe
Accel,Effectiv,Jon Joe,jon-joe
Accel,Transcend,Jon Joe,jon-joe
Accel,Tema,Jon Joe,jon-joe
Accel,Xfactor.io,Jon Joe,jon-joe
Accel,Klaviyo,Jon Joe,jon-joe
Accel,Ema,Jon Joe,jon-joe
Accel,Atrato,Jon Joe,jon-joe
Accel,WellTheory,Jon Joe,jon-joe
Accel,Webflow,Jon Joe,jon-joe
Accel,Donut,Jon Joe,jon-joe
Accel,Merge,Jon Joe,jon-joe
Accel,Assembly AI,Jon Joe,jon-joe
Accel,Blackpoint,Jon Joe,jon-joe
Accel,Meragi,Jon Joe,jon-joe
Accel,Delightree,Jon Joe,jon-joe
Accel,Transit,Jon Joe,jon-joe
Accel,Melio,Jon Joe,jon-joe
Accel,FitOn,Jon Joe,jon-joe
Accel,Airbyte,Jon Joe,jon-joe
Accel,UnitQ,Jon Joe,jon-joe
